0.0166539551	170616.925699069
0.0175178741	151254.045386348
0.0203879438	111922.967324163
0.0214455622	99221.1148457937
0.0241316374	80362.3548205726
0.0267002181	68507.0282989534
0.0300444435	54328.6027778173
0.0332423855	46734.1818770911
0.038041959		37851.5088456012
0.0413875344	33555.8375197328
0.048987234		28865.1747606809
0.0551229274	26371.6835816293
0.0630816384	24093.5903106644
0.0798733084	21359.270116008
0.0883750539	20415.886400525
0.094539878		20110.7770478105
0.1100289744	19810.2274636647
0.1217405005	19514.1695037022
0.1393175325	19514.1695037022
0.1594323564	18935.2609555522
0.1764023975	18373.5263438619
0.1951787362	17828.4561855802
0.2196250413	16786.3464204305
0.2389398232	15805.150104618
0.2556076712	14881.3067223178
0.3076866006	12801.096648367
0.3462246128	11485.8614850413
0.3895895443	10060.4394126676
0.4383859709	8918.7057690521
0.5102096576	7444.390850999
0.6038958411	6213.7889260504
0.6460221134	5677.0165696016
0.7646465757	4597.9973173818
0.8460358499	4138.0238497874
0.9681874687	3301.4304455785
1.0357258192	2926.759513509
1.1852650915	2300.15346106
1.2679462373	1919.9244626756
1.4756822947	1490.8103674861
1.5786222224	1259.450913328
1.8372583909	989.8081355695
1.9325656173	851.4460351632
2.249190684		669.1552673347
2.3658667742	575.6162015711
2.7074533112	438.9590470806
2.9455585381	384.4832103842
3.3144922865	305.8289998986
3.5457030273	271.1212456888
4.2681242948	226.3032970457
5.4042541853	172.5765872317
5.6845982456	162.4891323832
6.8428099283	127.700939729
7.0774555358	120.2365583532
8.0993066197	91.6911736239
8.5194557143	78.8739589381
9.1137517623	65.8356260993
9.5865248936	54.9526069471
10.4296056126	40.6631030331
10.6069182732	34.9789384536
11.346830519	25.8832520848
11.7359227148	22.9458277339
12.4492135906	18.0332291859
12.9413919845	15.0522295321
13.8909070291	11.4786767881
14.1270649218	10.1759909972
15.1125338454	7.7601069933
15.6307551203	6.675346559
16.4415958405	5.4886022393
17.2944986791	4.3789594247
19.1353317392	3.4414439007
19.9254070884	2.9603755103
22.2704002898	2.257552184
23.0340707204	1.9419762146
26.3597560623	1.5262078386
28.1985471046	1.3128641464
32.8185024524	1.0317858356
34.5209523954	0.9146910892
40.85979023		0.7634872315
43.7100676032	0.7408375725
53.5103158802	0.6567618034
64.4128054352	0.6183727314
74.9659833642	0.6000280481
81.5588181877	0.6000280481
94.921141319	0.6128112036
101.5426041268	0.6183727314
114.2609029099	0.6372782675
128.5721795897	0.6667258226
149.637014117	0.6975340996
165.5644351841	0.7081166931
189.4688167372	0.7634872315
209.6359501237	0.8011758018
235.8930337615	0.8356763533
252.3483452755	0.8612255224
275.9329373302	0.8795732977
347.6208782177	0.8875558073
362.5844655278	0.8795732977
371.8700463624	0.8742915497
397.810776184	0.8612255224
487.0040579066	0.8612255224

